epoch,train_loss,val_loss,val_auc,lr,best_epoch
1,0.5262138082589346,0.47173820308937264,0.3830845771144279,0.00025,0
2,0.4851137398850234,0.45170129640162743,0.5495251017639077,0.00025,1
3,0.5106332665055932,0.4344734417349895,0.6508367254635912,0.00025,2
4,0.44382191146822547,0.4173305039449329,0.7327001356852103,0.00025,3
5,0.44083590175925785,0.40277162218072105,0.7842605156037992,0.00025,4
6,0.42908517893288156,0.38790949663696545,0.8281320669380371,0.00025,5
7,0.4250893429376725,0.3707794265282922,0.8647670737222976,0.00025,6
8,0.4056461482497972,0.3528063954965488,0.8932609678878336,0.00025,7
9,0.36500220799402633,0.33044765423589,0.9149706015377658,0.00025,8
10,0.37982844320071246,0.30903617915195014,0.9271822704658526,0.00025,9
11,0.3592552729624623,0.2902585167624227,0.9312528267752148,0.00025,10
12,0.33338089692499606,0.2714939776076875,0.9389416553595659,0.00025,11
13,0.337783446581049,0.25350578799660767,0.9457259158751696,0.00025,12
14,0.3114193819320564,0.23855501222761283,0.9497964721845319,0.00025,13
15,0.2947200318784041,0.22540800231384497,0.952962460425147,0.00025,14
16,0.27301461146441003,0.21237588069183871,0.9574853007688828,0.00025,15
17,0.26957047645593424,0.20024821890206193,0.9615558570782451,0.00025,16
18,0.24818243436309595,0.188090887201301,0.9633649932157395,0.00025,17
19,0.2444248997600005,0.17776872053313894,0.9642695612844866,0.00025,18
20,0.255999374414477,0.17093303734885748,0.9642695612844866,0.00025,19
21,0.23938545447343307,0.16664963089032891,0.9633649932157395,0.00025,20
22,0.21871937683196718,0.1617252310722929,0.9638172772501131,0.00025,21
23,0.21563619902997,0.15409127442607276,0.9647218453188602,0.00025,22
24,0.21980925752582073,0.14994277420127677,0.9669832654907282,0.00025,23
25,0.20752810094237809,0.14800339961245407,0.9669832654907281,0.00025,24
26,0.1851349123103833,0.14682414740153388,0.9674355495251017,0.00025,25
27,0.17982179623876327,0.14558828069471508,0.9665309814563546,0.00025,26
28,0.18443741030504082,0.14388107590225271,0.9674355495251018,0.00025,27
29,0.18265690375216964,0.14233829032331466,0.9669832654907282,0.00025,28
30,0.14108695723605635,0.14279520835153314,0.966078697421981,0.00025,29
31,0.17048003600353956,0.1433619097966049,0.9647218453188603,0.00025,29
32,0.15809184371502977,0.14552719935986416,0.9651741293532339,0.00025,29
33,0.17718156019221318,0.14754309285125664,0.9651741293532339,0.000125,29
34,0.15349946990431834,0.14613386573582582,0.9656264133876075,0.000125,29
35,0.13408214966324536,0.14548754775369888,0.9651741293532339,0.000125,29
36,0.13698516169934175,0.14399990428253717,0.9651741293532339,0.000125,29
37,0.1562921439451445,0.1434680022263375,0.966078697421981,6.25e-05,29
38,0.16551542506354402,0.1439674327158946,0.9651741293532339,6.25e-05,29
39,0.15600617284090698,0.14406890470090236,0.9642695612844867,6.25e-05,29
