model,epoch,train_loss,val_loss,val_auc,lr
TabTransformer,1,0.46257096856887275,0.4636611853858366,0.3690637720488467,0.00025
TabTransformer,2,0.4530192614448934,0.4559634482447759,0.4984170058796925,0.00025
TabTransformer,3,0.44460517416664336,0.4484694554189806,0.6123925825418363,0.00025
TabTransformer,4,0.4407706368410186,0.44132299941174397,0.6983265490728178,0.00025
TabTransformer,5,0.43136745126684495,0.4342871033230582,0.7661691542288557,0.00025
TabTransformer,6,0.42192981204095115,0.4268664662304815,0.8141112618724559,0.00025
TabTransformer,7,0.4140274267818575,0.41914038644374463,0.8412483039348712,0.00025
TabTransformer,8,0.40397977582659267,0.4109756738832539,0.8638625056535505,0.00025
TabTransformer,9,0.3917064506583138,0.4016945672584026,0.8805970149253731,0.00025
TabTransformer,10,0.3846055267897876,0.39133667472551964,0.8923563998190864,0.00025
TabTransformer,11,0.36996865715814486,0.37969353163746666,0.9014020805065581,0.00025
TabTransformer,12,0.35930477236703556,0.36749935228109665,0.9086386250565355,0.00025
TabTransformer,13,0.34424238391925827,0.35438768251932246,0.9163274536408864,0.00025
TabTransformer,14,0.32433933042776064,0.3405120650327242,0.9199457259158752,0.00025
TabTransformer,15,0.3166342511943601,0.32576317703080904,0.9262777023971054,0.00025
TabTransformer,16,0.309495358053024,0.31166612387358766,0.9289914066033469,0.00025
TabTransformer,17,0.2810636798488855,0.2973268278355784,0.9330619629127092,0.00025
TabTransformer,18,0.27718697545306653,0.2829207137905733,0.9362279511533242,0.00025
TabTransformer,19,0.266661782169075,0.2698116269129008,0.9380370872908186,0.00025
TabTransformer,20,0.2548194725912919,0.25863430618524147,0.937584803256445,0.00025
TabTransformer,21,0.2367144878267984,0.24623635696551507,0.9430122116689281,0.00025
TabTransformer,22,0.22229078782998576,0.23580356027861718,0.9439167797376752,0.00025
TabTransformer,23,0.20379471530934357,0.2247894744319241,0.9443690637720488,0.00025
TabTransformer,24,0.20423586520133977,0.21596192979084222,0.9461781999095432,0.00025
TabTransformer,25,0.1920719087427343,0.2123777303529222,0.9470827679782904,0.00025
TabTransformer,26,0.17562447371700618,0.20310637194097395,0.947535052012664,0.00025
TabTransformer,27,0.17930611898711682,0.1975070507474136,0.947535052012664,0.00025
TabTransformer,28,0.16616569041514245,0.19429335316253302,0.9502487562189055,0.00025
TabTransformer,29,0.16891885457306138,0.19363881665991406,0.9488919041157847,0.00025
TabTransformer,30,0.1415661052684347,0.1848028325707393,0.9507010402532791,0.00025
TabTransformer,31,0.14401319494349754,0.1809623913190618,0.9507010402532791,0.00025
TabTransformer,32,0.14549963595655616,0.1873891866134774,0.9488919041157847,0.00025
TabTransformer,33,0.13328217348897656,0.18124652480744852,0.9502487562189055,0.00025
TabTransformer,34,0.13291106233893846,0.17882417458662853,0.9502487562189055,0.00025
TabTransformer,35,0.11881621409396108,0.1795810803983544,0.9520578923563998,0.00025
TabTransformer,36,0.12010090473723087,0.17983522821657108,0.9516056083220262,0.00025
TabTransformer,37,0.12244793003624208,0.18398986957164845,0.9507010402532791,0.00025
TabTransformer,38,0.11556218800866816,0.1777917478398613,0.9516056083220262,0.00025
TabTransformer,39,0.11447908095598765,0.17636487173114118,0.9520578923563998,0.00025
TabTransformer,40,0.10192917713960338,0.17847381269014204,0.9516056083220261,0.00025
TabTransformer,41,0.11998978153795124,0.1794915758124086,0.9516056083220262,0.00025
TabTransformer,42,0.10310523867308947,0.17894233633899595,0.9516056083220262,0.00025
TabTransformer,43,0.10297033765653293,0.18308326961342736,0.9511533242876526,0.000125
TabTransformer,44,0.09902894898435577,0.18356361481872552,0.9511533242876526,0.000125
TabTransformer,45,0.09284408193438445,0.1792747388882683,0.9507010402532791,0.000125
TabTransformer,46,0.09828012566568027,0.18210638892282635,0.9516056083220262,0.000125
TabTransformer,47,0.10045611034840274,0.18543321480065678,0.9511533242876526,6.25e-05
TabTransformer,48,0.10319750836925957,0.18324626462847904,0.9511533242876526,6.25e-05
TabTransformer,49,0.09841136599732106,0.18066723860719244,0.9511533242876526,6.25e-05
