model,epoch,train_loss,val_loss,val_auc,lr
FT-Transformer,1,0.45574680497674563,0.45220839099375687,0.6173677069199457,0.00025
FT-Transformer,2,0.45208386892380453,0.4499416919180776,0.6784260515603799,0.00025
FT-Transformer,3,0.4490501997966541,0.4479362693058127,0.7498869289914066,0.00025
FT-Transformer,4,0.4467302154563366,0.44434812275960367,0.8159203980099502,0.00025
FT-Transformer,5,0.44490644275903984,0.4404612955474812,0.8466757123473542,0.00025
FT-Transformer,6,0.4412462106661958,0.43246602177343646,0.8656716417910448,0.00025
FT-Transformer,7,0.43118254943049605,0.4155778344011572,0.8919041157847127,0.00025
FT-Transformer,8,0.41685002210622246,0.38366192739709154,0.9045680687471732,0.00025
FT-Transformer,9,0.39439162895144664,0.35445563029506877,0.9140660334690186,0.00025
FT-Transformer,10,0.3776710993486076,0.3321619982456391,0.9298959746720941,0.00025
FT-Transformer,11,0.35944203483284154,0.31480279100413033,0.922207146087743,0.00025
FT-Transformer,12,0.3516513865674618,0.30115904166078,0.9353233830845771,0.00025
FT-Transformer,13,0.33779411266461584,0.2924019473928567,0.9330619629127093,0.00025
FT-Transformer,14,0.31710711205955655,0.2855933868106386,0.9027589326096789,0.00025
FT-Transformer,15,0.3137961867822722,0.27650512194756416,0.9380370872908187,0.00025
FT-Transformer,16,0.30474039532565195,0.2723904312565715,0.9308005427408412,0.00025
FT-Transformer,17,0.3057938263470705,0.2690360467243616,0.9140660334690186,0.00025
FT-Transformer,18,0.29290835399526494,0.2664281316093158,0.9068294889190411,0.00025
FT-Transformer,19,0.27114991201148364,0.2614696795078161,0.9271822704658524,0.00025
FT-Transformer,20,0.2720929796356339,0.2583191089598279,0.9231117141564903,0.00025
FT-Transformer,21,0.2546924761051632,0.251781707315475,0.9339665309814563,0.00025
FT-Transformer,22,0.260614379155705,0.24989999722784276,0.9317051108095884,0.00025
FT-Transformer,23,0.2765371104485277,0.24717556067868446,0.9335142469470827,0.00025
FT-Transformer,24,0.2561833696059111,0.24909059481687099,0.9199457259158751,0.00025
FT-Transformer,25,0.24173694011734692,0.24660543144237643,0.9298959746720941,0.00025
FT-Transformer,26,0.25893701584042544,0.2449466195804413,0.9362279511533242,0.00025
FT-Transformer,27,0.22395474645481306,0.2432106023338266,0.9389416553595658,0.00025
FT-Transformer,28,0.2366840811662961,0.2415120526205589,0.9402985074626865,0.00025
FT-Transformer,29,0.2229166624331506,0.23636062415342252,0.9393939393939393,0.00025
FT-Transformer,30,0.2373329652327664,0.23674663821964073,0.9362279511533244,0.00025
FT-Transformer,31,0.22826294162489327,0.23650495976679067,0.9384893713251922,0.00025
FT-Transformer,32,0.24041491282996105,0.2320631886421661,0.9339665309814563,0.00025
FT-Transformer,33,0.20921655386712398,0.23096483525705205,0.9298959746720941,0.00025
FT-Transformer,34,0.19956647898241314,0.23242815129326147,0.9280868385345997,0.00025
FT-Transformer,35,0.2125393568394376,0.2301656816499019,0.9240162822252375,0.00025
FT-Transformer,36,0.21360137393435327,0.22922725731393814,0.9226594301221166,0.00025
FT-Transformer,37,0.1983367030084387,0.22776598673092718,0.9226594301221167,0.00025
FT-Transformer,38,0.2213514286957738,0.2244393004014344,0.9249208502939846,0.00025
FT-Transformer,39,0.19706924806352286,0.2267524877771754,0.926729986431479,0.00025
FT-Transformer,40,0.22248145019634374,0.23199756277422687,0.9253731343283582,0.00025
FT-Transformer,41,0.2053162914664466,0.23533750541732676,0.9249208502939846,0.00025
FT-Transformer,42,0.2055631426088703,0.23687017661739865,0.9217548620533695,0.000125
FT-Transformer,43,0.21262073438079876,0.23446232939273404,0.9235639981908639,0.000125
FT-Transformer,44,0.2033424149051348,0.23379377057651396,0.9253731343283582,0.000125
FT-Transformer,45,0.1950618540901666,0.2358321135906899,0.9258254183627318,0.000125
FT-Transformer,46,0.1926595673804916,0.23844490585637515,0.9285391225689733,6.25e-05
FT-Transformer,47,0.1668215929740414,0.23806954325355834,0.9285391225689733,6.25e-05
FT-Transformer,48,0.20428413938771253,0.23787945064022853,0.9285391225689733,6.25e-05
